"Peak id","Mass","RT","P8.mzXML","P9.mzXML","P10.mzXML","P1.mzXML","P2.mzXML","P3.mzXML","P4.mzXML","P5.mzXML","P6.mzXML","P7.mzXML","B6.mzXML","B7.mzXML","B8.mzXML","B9.mzXML","B10.mzXML","B1.mzXML","B2.mzXML","B3.mzXML","B4.mzXML","B5.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","InChI Key"
"11","234.0973","729.21","54072.28","41619","40674.81","38091.88","28701.69","31507.37","38500.46","39743.52","32058.97","37873.59","23938.88","12858.56","22597.64","27975.52","14939.6","18763.02","17943.89","13192.46","22533.27","20328.5","positive","No Fragments","2D-5-O-Methyl-2,3,5/4,6-pentahydroxycyclohexanone,Quinate,Quinic acid,Valiolone","AAWZDTNXLSGCEK-RKGSPJAZSA-N,AAWZDTNXLSGCEK-WYWMIBKRSA-N,JCZFNXYQGNLHDQ-VZFHVOOUSA-N,VKPFEZAOAAZDPP-QCNSFQOVSA-N"
"12","252.1079","728.94","53827.82","35015.44","43937.91","34722.26","23636.96","32862.86","30725.75","30461.1","30928.16","41936.89","30486.81","12467.98","23686.85","26052.44","14793.61","16850.42","17293.96","12429.64","22730.95","16260.6","positive","No Fragments","Coriose,D-Manno-2-heptulose,D-altro-D-manno-Heptose,L-Galacto-2-heptulose,Muramic acid,N-(1-Deoxy-1-fructosyl)alanine,Sedoheptulose,alpha-D-Mannoheptulopyranose,beta-D-Sedoheptulopyranose","BDMCSTCUMFCYDF-YUKLUKPDNA-N,BGWQRWREUZVRGI-UHFFFAOYNA-N,HAIWUXASLYEWLM-BNWJMWRWSA-N,HAIWUXASLYEWLM-QTSLKERKSA-N,HAIWUXASLYEWLM-UHFFFAOYNA-N,HAIWUXASLYEWLM-VEIUFWFVSA-N,HSNZZMHEPUFJNZ-UHFFFAOYSA-N,INYHXAFWZQXELF-FNKGTGPASA-N,MSFSPUZXLOGKHJ-LEISLEKSSA-N,MSFSPUZXLOGKHJ-PGYHGBPZSA-N"
"13","347.2291","719.43","40815.29","31742.53","24223.39","22157.11","20098.81","35769.84","29882.4","26368.69","28366.93","23651.08","9818.88","6373.05","11861.29","12969.74","6048.85","9447.4","8817.19","6323.39","9978.58","7466.11","positive","No Fragments","",""
"14","268.1033","731.66","36627.53","21743.94","29586.19","29242.45","25718.16","31166.16","34269.59","38775.47","29180.5","29767.51","12851.86","5590.91","10051.73","14607.45","8872.85","10753.21","9619.27","6603.93","12648.02","11182.24","positive","No Fragments","5-Acetylamino-6-formylamino-3-methyluracil,Adenosine,Deoxyguanosine,Glutamyl-Valine,Miserotoxin,N-(1-Deoxy-1-fructosyl)serine,Neuraminic acid,Valyl-Glutamate,Vidarabine,Zidovudine","CERZMXAJYMMUDR-QBTAGHCHSA-N,CERZMXAJYMMUDR-YOQZMRDMSA-N,HBOMLICNUCNMMY-XLPZGREQSA-N,JDJSHLXEHWCLEP-SYHAXYEDSA-N,KUVQLWYPNUQGDT-YUKLUKPDNA-N,OIRDTQYFTABQOQ-KQYNXXCUSA-N,OIRDTQYFTABQOQ-UHTZMRCNSA-N,RDZNZFGKEVDNPK-UHFFFAOYSA-N,SITLTJHOQZFJGG-UHFFFAOYSA-M,UPJONISHZRADBH-UHFFFAOYSA-M,YKBGVTZYEHREMT-KVQBGUIXSA-N"
"15","219.0476","719.57","28024.46","34872.71","25821.35","27446.08","37167.56","21508.33","32210.1","30622.02","18951.25","32670.16","6245.91","3389.06","6323.43","9623.35","5499.14","7471.5","6520.02","4558.05","12428.65","7396.75","positive","No Fragments","D-Altronate,D-Galactonate,D-Gluconic acid,D-Mannonate,Galactonic acid,Gluconic acid,Gulonic acid,Hamamelose,L-Galactonate,L-Gulonate,L-Idonate,cis-1,2-Dihydroxy-1,2-dihydrodibenzothiophene","OOOXLVUNFHBSNL-PRHODGIISA-N,RGHNJXZEOKUKBD-AIHAYLRMSA-N,RGHNJXZEOKUKBD-KKQCNMDGSA-N,RGHNJXZEOKUKBD-MBMOQRBOSA-N,RGHNJXZEOKUKBD-MGCNEYSASA-N,RGHNJXZEOKUKBD-SQOUGZDYSA-N,RGHNJXZEOKUKBD-UHFFFAOYSA-N,XONDRGRALZTVKD-ZMIZWQJLSA-N"
"16","246.1168","731.2","32152.19","25053.15","29656.64","21935.43","17731.89","22904.33","21836.48","24187.07","20896.6","24483.85","9625.47","7301.77","8911.5","11152.2","5519.29","10505.37","7663.21","5581.28","8872.85","7460.69","positive","No Fragments","",""
"17","240.1344","727.82","31791.5","17646.27","20432.43","21579.88","14152.54","16297.38","27393.19","22120.82","18794.24","18325.55","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","positive","No Fragments","Metharbital","FWJKNZONDWOGMI-UHFFFAOYSA-N"
"18","118.1405","648.41","110455904","102640192","116612008","115654544","112398320","110774808","114413656","138032464","117141816","118347832","109643024","52571520","102302504","121075744","106276832","98499936","90636984","77608848","119252464","112500608","positive","No Fragments","",""
"19","119.1306","647.88","5852669.5","5414618.5","6247512","6290470.5","6134473","6124107","6246034.5","7291853.5","6296291","6409427","5892293.5","2838923","5546944.5","6652395","5795889.5","5396278","4871260","4180918.5","6397881.5","6116867","positive","No Fragments","2-Methylcholine","JPKKMFOXWKNEEN-UHFFFAOYSA-N"
"20","119.1306","642.72","5703692.5","5414618.5","5895441","5758245.5","5288365.5","5487638.5","6246034.5","6249702","5802737","5881655","5718638.5","1894958.88","4626406.5","6652395","5795889.5","5396278","4690616","4180918.5","6397881.5","6116867","positive","No Fragments","2-Methylcholine","JPKKMFOXWKNEEN-UHFFFAOYSA-N"
"21","257.1472","652","1913411.38","2912340.25","3561579.25","4293054","3968730.25","4455149.5","3695623.25","4805709.5","3826310.5","3786185.5","2817916.25","579608.88","1998675.25","4205814","2216595.5","2941269.5","2319663.5","1187040.75","3953193.5","3467391","positive","No Fragments","",""
"22","120.1317","650.01","410863.84","401849.34","404348.69","441790.25","371276.78","423173.41","411078.5","516424.31","404454.41","440718.5","386207.72","183561.89","338599.38","410421.75","394550.88","335401.66","344844.03","299284.91","436772.09","396817.56","positive","No Fragments","",""
"23","119.1242","647.15","307131.16","272308.66","280456.72","310131.94","263773.63","325969.88","319597.03","319068.94","289358.19","311915.47","268571.66","127692.99","258816.41","299111.97","276377.16","219646.31","223501.13","187615.02","303390.47","252611.31","positive","No Fragments","",""
"24","140.0682","652.05","162907.84","207055.42","246331.27","298337.5","286529.56","264384.19","272246.25","292505.16","236687.08","260944.28","188437.56","51976.83","144172.45","230135.53","149702.5","175987.2","150969.17","90068.66","247083.73","204141.03","positive","No Fragments","(R)-Propane-1,2-diol,(S)-Propane-1,2-diol,2-Amino-2-methylbutanoate,2-Amino-3-methylbutanoic acid,2S-amino-pentanoic acid,4-Methylaminobutyrate,4-amino-pentanoic acid,4R-aminopentanoic acid,4S-aminopentanoic acid,5-Aminopentanoate,5-Aminopentanoic acid,5-amino-pentanoic acid,Amyl Nitrite,Amyl nitrite,Betaine,D-Norvaline,D-Valine,L-Norvaline,L-Valine,N-Methyl-a-aminoisobutyric acid,Norvaline,Propane-1,2-diol,Propane-1,3-diol,Propylene glycol,Valine,Vaporole","ABSTXSZPGHDTAF-BYPYZUCNSA-N,ABSTXSZPGHDTAF-SCSAIBSYSA-N,ABSTXSZPGHDTAF-UHFFFAOYSA-N,AOKCDAVWJLOAHG-UHFFFAOYSA-N,CSDTZUBPSYWZDX-UHFFFAOYSA-N,DLAMVQGYEVKIRE-UHFFFAOYSA-N,DNIAPMSPPWPWGF-GSVOUGTGSA-N,DNIAPMSPPWPWGF-UHFFFAOYSA-N,DNIAPMSPPWPWGF-VKHMYHEASA-N,GCHPUFAZSONQIV-UHFFFAOYSA-N,JJMDCOVWQOJGCB-UHFFFAOYSA-N,KWIUHFFTVRNATP-UHFFFAOYSA-N,KZSNJWFQEVHDMF-BYPYZUCNSA-N,KZSNJWFQEVHDMF-SCSAIBSYSA-N,KZSNJWFQEVHDMF-UHFFFAOYSA-N,OWFXIOWLTKNBAP-UHFFFAOYSA-N,SNDPXSYFESPGGJ-BYPYZUCNSA-N,SNDPXSYFESPGGJ-SCSAIBSYSA-N,YPFDHNVEDLHUCE-UHFFFAOYSA-N"
