"Peak id","Mass","RT","P8.mzXML","P9.mzXML","P10.mzXML","P1.mzXML","P2.mzXML","P3.mzXML","P4.mzXML","P5.mzXML","P6.mzXML","P7.mzXML","B6.mzXML","B7.mzXML","B8.mzXML","B9.mzXML","B10.mzXML","B1.mzXML","B2.mzXML","B3.mzXML","B4.mzXML","B5.mzXML","Polarity","FrAnK Annotation","PiMP Annotation","InChI Key"
"121","441.1554","741.06","61772.27","48381.19","53162.79","58033.27","45381.47","56310.21","72622.35","64249.68","56574.03","57381.21","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","positive","No Fragments","(+)-12a-Hydroxyerythynone,3,5,8-Trimethoxy-3',4'-methylenedioxy-7-prenyloxyflavone","VQXYWNMNFIVUBJ-UHFFFAOYSA-N,VSSFKDAMVNYAEJ-UHFFFAOYSA-N"
"122","229.0473","739.66","57182.63","48363","42358.58","39349.43","34396.63","43617.87","57700.85","48340.46","41545.4","52037.95","2305.37","NA","1637.74","2778.87","1438.85","2915.11","1927.58","1950.34","2232.55","2542.96","positive","No Fragments","(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate,(R)-4-Phosphopantoate,(R)-5-Phosphomevalonate,2-Hydroxy-3-methylbenzalpyruvate,2-Hydroxy-8-methylchromene-2-carboxylate,3-Hydroxysuberic acid,3-Methoxy-4,5-methylenedioxycinnamaldehyde,3-hydroxy-suberic acid,Citropten,Diethyl L-malate,Eugenin,Eugenitol,Isoeugenitol,Lathodoratin,Mevalonate-P,Mevalonic acid-5P,Scoparone,Vinyl caffeate,cis-1,2-Dihydroxy-1,2-dihydro-8-carboxynaphthalene","ARJZZFJXSNJKGR-UHFFFAOYSA-N,DWONKORAGIKGGD-AATRIKPKSA-N,GUAFOGOEJLSQBT-UHFFFAOYSA-N,HMAUJNAGOIPKDG-UHFFFAOYSA-N,IQMBSQBMNIILBR-NSCUHMNNSA-N,NDNLINRFIZVPBU-UHFFFAOYSA-N,NXJCRELRQHZBQA-UHFFFAOYSA-N,OKZYCXHTTZZYSK-ZCFIWIBFSA-N,RILHUWWTCSDPAN-PHDIDXHHSA-N,SCZKCXUGDWJJGV-UHFFFAOYSA-N,SUTUBQHKZRNZRA-UHFFFAOYSA-N,SVZWVVFMSSSVKX-BYPYZUCNSA-N,VKNUORWMCINMRB-UHFFFAOYNA-N,XSSGQRFNGHRFBC-UHFFFAOYSA-N,XVCVDNKCUNGTRP-GQCTYLIASA-N,ZSELXDLKMICUKK-WPRPVWTQSA-N"
"123","325.0433","732.77","42045.99","26340.79","29653.63","40223.7","32702.21","41922.4","37724.38","42817.65","35750.01","42475.39","1725.35","858.05","1775.16","3798.21","NA","2615.95","2422.66","1499.4","4237.75","2592.69","positive","No Fragments","3'-UMP,Olsalazine,Pseudouridine 5'-phosphate,UMP,Uridine 2'-phosphate,Uridine 2'-phosphate ,Uridine 5'-monophosphate","DJJCXFVJDGTHFX-XVFCMESISA-N,FOGRQMPFHUHIGU-NHBCCFCANA-N,FOGRQMPFHUHIGU-XVFCMESISA-N,HQIDPEYTETUCNF-XVFCMESISA-N,MOBMOJGXNHLLIR-GBNDHIKLSA-N,QQBDLJCYGRGAKP-FOCLMDBBSA-N"
"124","250.0923","731.55","29724.09","29305.76","21714.57","18268.66","21778.15","24482.67","22320.96","22472.82","23465.32","21056.93","8437.16","3795.07","6588.11","10265.69","6765.17","9797.04","7195.79","4976.89","10641.21","8725.76","positive","No Fragments","(S)-dihydrolipoic acid,Dihydrolipoate,S-Acetyldihydrolipoamide,S-Acetyldihydrolipoamide-E","ARGXEXVCHMNAQU-UHFFFAOYSA-N,IZFHEQBZOYJLPK-UHFFFAOYSA-N,IZFHEQBZOYJLPK-ZETCQYMHSA-N,WXCOTNFMLYTGPZ-UHFFFAOYSA-N"
"125","303.2029","740.87","19389.38","23026.42","19805.62","23636.45","15509.17","17947.6","21443.95","20326.93","18226.8","18750.26","9993.65","7042.34","11435.87","17265.37","7001.87","12674.35","11069.5","8672.77","13210.13","10170.43","positive","No Fragments","",""
"126","272.1605","733.43","22696.33","13204.94","21660.07","13627.54","13813.99","14231.94","14798.92","15071.94","16425.37","14737.2","NA","841.61","1197.43","2543.3","NA","1214.36","1676.03","NA","NA","NA","positive","No Fragments","Hydroxyprolyl-Valine,Valyl-Hydroxyproline","IMOKOCYUKGZZAG-UHFFFAOYSA-N,OBSIPTVJSOCDLZ-UHFFFAOYSA-N"
"127","267.1341","735.02","20001.98","14084.21","13843.82","15195.73","11078.94","17389.36","14887.02","13099.3","13605.66","11626.96","NA","NA","NA","2431.09","NA","NA","NA","NA","NA","NA","positive","No Fragments","N5-(4-Methoxybenzyl)glutamine,Phenylalanyl-Threonine,Threoninyl-Phenylalanine","IQHUITKNHOKGFC-UHFFFAOYSA-N,MLNAECTVQFEWFD-UHFFFAOYSA-N,NYQBYASWHVRESG-UHFFFAOYSA-N"
"128","325.0624","741.02","14278.11","13910.26","15005.88","14128.5","12622.39","14089.03","13882.84","16619.96","14006.02","14534.27","1474.7","NA","2046.7","2739.08","NA","1927.64","2241.13","NA","2873.34","2064.75","positive","No Fragments","2-Methoxy-9-phenyl-1H-phenalen-1-one,4-Hydroxy tolbutamide,Benzo[a]pyrene-7,8-diol,Benzo[a]pyrene-cis-11,12-dihydrodiol,Benzo[a]pyrene-cis-4,5-dihydrodiol,Benzo[a]pyrene-cis-7,8-dihydrodiol,Benzo[a]pyrene-cis-9,10-dihydrodiol,Benzo[a]pyrene-trans-11,12-dihydrodiol","GHARBPKRUUKTCI-OXQOHEQNSA-N,NXRGWQRQXPUQSX-UHFFFAOYSA-N,OYOQHRXJXXTZII-UXHICEINSA-N,SGHZUKBSLLOHPU-UXHICEINSA-N,SGHZUKBSLLOHPU-WOJBJXKFSA-N,SJRHYONYKZIRPM-UHFFFAOYSA-N,YDXRLMMGARHIIC-FXAWDEMLSA-N,YDXRLMMGARHIIC-UHFFFAOYNA-N,YDXRLMMGARHIIC-UHFFFAOYSA-N"
"129","176.1031","812.22","12880586","8257501","9456694","11674820","9325236","11481000","13891331","11802927","10231221","9660838","587380.06","275386.06","547161.94","617821.19","362260.06","622802.88","553113.5","525847","670049.69","614510.75","positive","No Fragments","Argininic acid,Citrulline,L-Canaline,L-Citrulline,N-Nitrosodiethanolamine","BMFMQGXDDJALKQ-BYPYZUCNSA-N,FQPGMQABJNQLLF-VKHMYHEASA-N,RHGKLRLOHDJJDR-BYPYZUCNSA-N,YFCDLVPYFMHRQZ-UHFFFAOYSA-N"
"130","373.1818","809.03","139478.42","115035.19","121717.6","167799.84","113166.63","142403.91","215421.06","150978.72","125349.96","120187.19","NA","20428.05","25596.36","NA","NA","NA","21234.05","18034.99","21739.31","14967.15","positive","No Fragments","",""
"131","351.1989","812.45","74209.04","28887.26","60121.67","75533.83","50968.43","77438.13","90817.44","78499.58","67206.05","55726.88","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","positive","No Fragments","Fluperlapine","OBWGMKKHCLHVIE-UHFFFAOYSA-N"
"132","481.1303","814.07","70924.18","54994.13","47366.74","62231.4","42977.31","69110.82","55204.44","41760.8","34452.01","43382.96","NA","NA","NA","NA","NA","518.28","563.67","515.48","NA","NA","positive","No Fragments","2'-(E)-Feruloyl-3-(arabinosylxylose),7-Hydroxy-4-methylphthalide O-[arabinosyl-(1->6)-glucoside],Cortisol 21-sulfate,cis-p-Coumaric acid 4-[apiosyl-(1->2)-glucoside],cortisol 21-sulfate","DAVWDWCHQLSZAZ-ZZXKWVIFNA-N,JOVLCJDINAUYJW-OXPLYMOZSA-N,JOVLCJDINAUYJW-VWUMJDOOSA-N,QSTWATBAAMDBSL-UHFFFAOYNA-N,ZXAPYACNVQHJGD-HWKANZRONA-N"
"133","429.1571","809.64","37069.05","24274.03","27505.96","27343.95","20211.82","25153.66","32115.01","22498.46","29589.67","25998.59","1587.11","NA","NA","NA","1281.28","NA","1576.8","NA","1711.15","1502.35","positive","No Fragments","Dimethomorph","QNBTYORWCCMPQP-NBVRZTHBSA-N"
"134","220.067","813.01","22560.28","32549.14","21861.76","27946.56","19299.28","21902.29","36677.28","24808.12","18262.14","20516.53","NA","708.4","1115.83","952.96","NA","NA","1152.76","1104.67","1649.7","1366.19","positive","No Fragments","",""
"135","262.1398","812.03","30737.88","18674.44","21770.12","26816.57","16969.91","21774.96","23366.17","20855.39","18636.05","20532.39","1691.57","1108.55","1639.14","2970.01","1131.46","1589.71","1912.56","1340.96","1851.77","2123.99","positive","No Fragments","Alpha-Aspartyl-lysine,Aspartyl-Lysine,Aspartylysine,Gamma glutamyl ornithine,Hercynine,Lysyl-Aspartate,N-Acetyl-b-glucosaminylamine,N-Acetyl-beta-D-glucosaminylamine,Threoninyl-Threonine","CIOWSLJGLSUOME-UHFFFAOYSA-N,DSGIVWSDDRDJIO-UHFFFAOYSA-N,FCQBDQYWNGUTPD-BQBZGAKWSA-N,GPPYTCRVKHULJH-QMMMGPOBSA-O,MCGXOCXFFNKASF-FMDGEEDCSA-N,OAMLVOVXNKILLQ-BQBZGAKWSA-N,OAMLVOVXNKILLQ-UHFFFAOYSA-N,QGNYWQOMJSTUQZ-BQBZGAKWSA-N"
"136","246.0796","810.74","20061.03","18264.78","13965.07","18460.27","17428.57","21467.62","17658.33","13283.54","13950.42","11774.16","NA","NA","NA","852.58","NA","NA","NA","NA","NA","NA","positive","No Fragments","",""
"137","216.0572","812.84","16255.03","16067.76","15453.89","16018.54","13167.08","14531.37","21217.8","18728.88","16066.92","16378.72","3196.55","2500.18","4231.19","4756.01","2327","5877.67","5063.54","5827.56","4860.05","5106.18","positive","No Fragments","5,7-Dihydro-2-methylthieno[3,4-d]pyrimidine","XSUYIZJJKIKWFN-UHFFFAOYSA-N"
"138","351.6278","818.85","19911.61","15083.76","15002.26","17170.91","10834.19","16258.57","15210.34","18089.06","14926.47","20478.04","NA","NA","NA","1142.57","NA","NA","NA","NA","NA","NA","positive","No Fragments","",""
"139","215.1141","809.39","16465.48","7819.12","13537.24","12594.39","11554.11","11712.79","11449.86","12665.1","11910.03","14429.06","1993.24","945.55","2570.7","2349.51","1266.25","2262.84","2180.45","1631.66","1735.97","1836.55","positive","No Fragments","2-Oxoarginine,5-Guanidino-2-oxopentanoate","ARBHXJXXVVHMET-UHFFFAOYSA-N"
"140","371.3275","273.97","4919874.5","445851.25","145136.19","581968.38","341833.72","237565.83","318048.5","28561.12","NA","12335470","119495","131008","148866.8","171791.69","130601.21","124793.58","116610.34","112020.14","174481.53","103889.96","positive","No Fragments","Dihydroceramide,Palmitoyl Serinol ,Penaresidin A,Penaresidin B","GOJDAUFFWJKIPB-CADBVGFASA-N,MZUNFYMZKTWADX-UHFFFAOYSA-N,VVMSPNITCDMCDP-IQYADAHOSA-N,XSDVOEIEBUGRQX-RBUKOAKNSA-N"
"141","198.0876","565.12","11073975","9439548","9528632","9339336","9125778","11691199","11556841","10250810","7118695.5","7170208","1112444.25","517222.56","929216.69","1625260.5","1013286.81","1309505.63","1209943.88","830116.88","1455903.38","1379602","positive","No Fragments","(S)-3-(Imidazol-5-yl)lactate,4-Imidazolone-5-propanoate,4-Imidazolone-5-propionic acid,5-Hydroxymethyl-4-methyluracil,HC Red No. 3,Imidazole lactate,Imidazolelactic acid,Methyl5-(but-3-en-1-yl)amino-1,3,4-oxadiazole-2-carboxylate,N-Acetyl-L-histidine,N-Acetylhistidine,N-Nitrosoguvacine","ACZFBYCNAVEFLC-UHFFFAOYSA-N,ACZFBYCNAVEFLC-YFKPBYRVSA-N,GZGZVOLBULPDFD-UHFFFAOYSA-N,HEXMLHKQVUFYME-UHFFFAOYSA-N,JTYMXXCJQKGGFG-UHFFFAOYSA-N,KBOJOGQFRVVWBH-UHFFFAOYSA-N,KBOJOGQFRVVWBH-ZETCQYMHSA-N,RYZCYLNZNIEFLI-UHFFFAOYSA-N,XAZBVEFQMFZFEZ-UHFFFAOYSA-N,XBAVGYMDOXCWQU-UHFFFAOYSA-N"
"142","215.1393","565.48","217033.09","158131.56","152852.97","118400.96","113642.34","138312.22","139695.03","123116.83","93641.76","108695.25","7769.88","6620.44","7941.75","9082.94","5184.04","5597.42","7009.96","5613.3","7183.34","6639.94","positive","No Fragments","Dethiobiotin,Hexanoylglycine,Isovalerylalanine,Isovalerylsarcosine,N-Acetyl-L-leucine,N-Acetylleucine,Prolyl-Valine,Swainsonine,Valyl-Proline","AUTOLBMXDDTRRT-JGVFFNPUSA-N,AUTOLBMXDDTRRT-UHFFFAOYSA-N,AWJGUZSYVIVZGP-UHFFFAOYSA-N,FXUAIOOAOAVCGD-WCTZXXKLSA-N,GIAZPLMMQOERPN-UHFFFAOYSA-N,GPFSWCRCPHKNBU-UHFFFAOYSA-N,OJPSNARFDYTAEN-LURJTMIESA-N,UPCKIPHSXMXJOX-UHFFFAOYSA-N,WXNXCEHXYPACJF-ZETCQYMHSA-N"
"143","237.0872","559.3","181053.38","213296.59","166352.8","144183.94","140659.89","189257.72","126979.88","136978.22","131222.03","131845.5","31770.56","19078.18","21969.1","37375.12","13648.07","29295.02","27813.48","21391.23","29590.11","25691.34","positive","No Fragments","1,2-Epoxy-3-(p-Nitrophenoxy)propane,2-Carboxy-2,3-dihydro-5,6-dihydroxyindole,2-Hydroxy-6,7-dimethoxybenzoxazole,2-Hydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one,3-Hydroxyhippuric acid,4-Carboxyphenylglycine,4-Hydroxyhippuric acid,6-Hydroxy-3-succinoylpyridine,Alpha-Hydroxyhippuric acid,Dopaquinone,Hercynine,L-Dopaquinone,L-Formylkynurenine,Leucodopachrome,N'-Formylkynurenine,N,N-Dihydroxy-L-tryptophan,N-Formyl-D-kynurenine,N-acetyl-5-aminosalicylic acid,Salicyluric acid,Tris(1-aziridinyl)phosphine oxide","AHMIDUVKSGCHAU-LURJTMIESA-N,AHMIDUVKSGCHAU-UHFFFAOYNA-N,BYHJHXPTQMMKCA-MRVPVSSYSA-N,BYHJHXPTQMMKCA-QMMMGPOBSA-N,BYHJHXPTQMMKCA-SVGMAFHSNA-N,BYHJHXPTQMMKCA-UHFFFAOYSA-N,FKJQZUQEYSGYFZ-JTQLQIEISA-N,FODHHOASVRMOPW-UHFFFAOYSA-N,FPIGOBKNDYAZTP-UHFFFAOYSA-N,FYAMXEPQQLNQDM-UHFFFAOYSA-N,GCWCVCCEIQXUQU-UHFFFAOYSA-N,GEFDRROBUCULOD-UHFFFAOYSA-N,GPPYTCRVKHULJH-QMMMGPOBSA-O,JDWYRSDDJVCWPB-LURJTMIESA-N,NDEPTLCFICMYLH-UHFFFAOYSA-N,OMAJIMAYOJBLJF-UHFFFAOYSA-N,ONJSZLXSECQROL-UHFFFAOYSA-N,VTMJKPGFERYGJF-UHFFFAOYSA-N,XDOFWFNMYJRHEW-UHFFFAOYSA-N,ZMHLUFWWWPBTIU-UHFFFAOYSA-N"
"144","276.1445","557.27","78679.86","66058.95","56620.81","41832.8","43238.28","52227.6","45066.69","39219.23","34725.98","40167.18","35220.72","20957.56","36080.36","44114.69","24287.6","30915.3","33691.44","24832.31","41048.67","34900.14","positive","No Fragments","Glutarylcarnitine","NXJAXUYOQLTISD-VIFPVBQESA-N"
"145","219.0767","558.83","33710.37","40989.79","30373.04","29978.01","29111.91","35817.32","21246.33","23418.22","23152.67","22018.62","6391.06","4026.12","5696.68","6777.98","2840.95","7081.65","5700.96","3877.81","6717.95","5713.21","positive","No Fragments","(S)-3-[(Cyanophenylmethyl)amino]-3-oxopropanoic acid,4-Acetyl-2(3H)-benzoxazolone","FZAQRVWPQCXSPC-UHFFFAOYSA-N,WMOFHAQITVHGSC-UHFFFAOYSA-N"
"146","202.0905","543.47","15083.29","13517.03","12760.13","16230.48","14950.07","20991.62","20784.11","15132.66","13353.3","12354.08","10382.61","8606.16","12742.65","11816.68","6976.91","8223.52","8660.72","6597.22","8758.57","8870.18","positive","No Fragments","",""
"147","295.1582","557.73","18455.86","18149.21","14443.82","11389.85","11397.65","11887.13","10970.33","11433.21","11464.2","10330.39","10378.06","6071.23","8056.6","11029.4","7136.96","8284.16","9565.59","6498.71","11259.38","8238.41","positive","No Fragments","",""
"148","221.1288","559.19","17079.93","14882.08","16528.14","14612.88","12887","17965.1","16458.32","15596.25","13558.63","16797.96","2017.75","948","1451.37","2621.36","1105.74","1918.35","1632.92","906.77","2340.52","2352.51","positive","No Fragments","(-)-Salsolinol,(R)-Salsolinol,1,2,3,4,5,6-Hexahydro-5-(1-hydroxyethylidene)-7H-cyclopenta[b]pyridin-7-one,2(N)-Methyl-norsalsolinol,2,3-Dihydro-5-(3-hydroxypropanoyl)-1H-pyrrolizine,3,4-Methylenedioxyamphetamine,3,5-Dimethylphenyl methylcarbamate,Ethyl N-methylanthranilate,Fusaric acid,L-Homophenylalanine,Maltoxazine,N-methylphenylalanine,Phenacetin,Phenylacetylglycine dimethylamide,Propham,Salsolinol,XMC,Xylylcarb,alpha-Methylphenylalanine","BJPWZQDKNZJLFC-SOFGYWHQSA-N,CPJSUEIXXCENMM-UHFFFAOYSA-N,CVQODEWAPZVVBU-UHFFFAOYSA-N,DGMPVYSXXIOGJY-UHFFFAOYSA-N,DLLQYHQNPSDCSK-UHFFFAOYSA-N,HYOWVAAEQCNGLE-UHFFFAOYSA-N,IBRKLUSXDYATLG-LURJTMIESA-N,IBRKLUSXDYATLG-UHFFFAOYSA-N,JTTHKOPSMAVJFE-VIFPVBQESA-N,KEVKBVWYVMVEBG-UHFFFAOYSA-N,MTHASAHNRVFFOM-UHFFFAOYNA-N,NGBBVGZWCFBOGO-UHFFFAOYSA-N,SCIFESDRCALIIM-UHFFFAOYSA-N,VXPLXMJHHKHSOA-UHFFFAOYSA-N,WBSWYVBUGLBCOV-UHFFFAOYSA-N,WCJYTPVNMWIZCG-UHFFFAOYSA-N,WETXYFNVBDLWIW-UHFFFAOYSA-N"
"149","321.1117","565.49","17481.04","16761.49","14632.53","13905.12","15993.87","16402.54","14603.22","16355.29","10153.65","12879","NA","NA","1539.24","NA","NA","NA","865.79","NA","1007.15","NA","positive","No Fragments","2,3-Dihydro-2,3-dihydroxy-4-(4-methoxyphenyl)-1H-phenalen-1-one,5-Hydroxy-6'',6''-dimethylpyrano[2'',3'':7,8]flavone,Acrylic acid-2-acrylamido-2-methyl propane sulfonic acid copolymer,Anhydrotuberosin,Corylin,Erythrinin A,Phenolphthalin","FFFPYJTVNSSLBQ-UHFFFAOYSA-N,GGGQCONNJCHXIR-UHFFFAOYSA-N,GMMBTTCHJJMJKQ-UHFFFAOYNA-N,JKBQWLWECJXFBS-UHFFFAOYSA-N,PWAACAMQKVIVPZ-UHFFFAOYSA-N,VCUYDJLATCCAGU-UHFFFAOYSA-N,YVDXQYOOUXSXMU-UHFFFAOYSA-N"
"150","316.1371","559.92","14579.59","16271.77","6826.75","7793.94","6598.41","9475.14","6526.67","7041.38","6244.55","7378.23","3339.79","2082.75","3565.59","5050.54","2029.08","2502.96","2924.46","2143.98","4025","3435.04","positive","No Fragments","2,3-Butanediol glucoside,Gamma-glutamyl-Glutamate,Glutaminyl-Glutamate,Glutamyl-Gamma-glutamate,Glutamyl-Glutamine,Histidinyl-Proline,N'-Hydroxysaxitoxin,N-(1-Deoxy-1-fructosyl)isoleucine,N-(1-Deoxy-1-fructosyl)leucine,Neosaxitoxin,Prolyl-Histidine","AGUPJSLCNZPQMF-UHFFFAOYNA-N,BEPSGCXDIVACBU-UHFFFAOYSA-N,KGTRBDVOUPALMB-LWFGQFLFNA-N,LNCFUHAPNTYMJB-UHFFFAOYSA-N,MGHKSHCBDXNTHX-UHFFFAOYSA-M,OWOFCNWTMWOOJJ-UHFFFAOYSA-M,PPEKGEBBBBNZKS-HGRQIUPRSA-N,UDXGQZURTGBEOD-UHFFFAOYSA-M,VYGRYVGDPYFVCA-PZIRIOGLNA-N,ZLXYJEYKAQYNPV-UHFFFAOYNA-N"
"151","201.0949","565.68","7117.38","5303.38","6307.56","7254.48","6768.16","5632.98","8723.12","6252.21","3556.53","5229.39","NA","NA","NA","NA","NA","NA","NA","NA","NA","636.21","positive","No Fragments","",""
"152","116.124","710.32","11593257","9048365","8375611","9054111","7243864","8647773","10098470","10376011","9491832","10733799","3831098.75","2828439","4352195.5","5445037","3053122","3975836.5","3550387.75","3085498.25","4148566.5","3154404","positive","No Fragments","",""
"153","231.1705","707.74","5964376.5","6012391","5962029","6335938","4787462","6642621","7293166.5","6234050","5787562.5","6517417.5","120142.84","37542.77","109136.02","167830.34","114058.54","139007.72","132948.53","91326.48","169690.64","156658.2","positive","No Fragments","Isoleucyl-Valine,Leucyl-Valine,Valyl-Isoleucine,Valyl-Leucine","BCXBIONYYJCSDF-UHFFFAOYSA-N,MDSUKZSLOATHMH-UHFFFAOYSA-N,PNVLWFYAPWAQMU-UHFFFAOYSA-N,XCTHZFGSVQBHBW-UHFFFAOYSA-N"
"154","332.5621","711.67","1511324.88","1443043.38","1175365.75","1557774.25","1270239.75","1628541.5","1636875.63","1669370.88","1558913.75","1433128.5","104283.99","32612.97","95894.69","136448.38","91762.47","106154.2","107048.22","66003.71","152932.06","119951.34","positive","No Fragments","",""
"155","664.117","712.36","757591.5","602348.13","476119.31","695419.81","582540.19","788124.25","696607.63","725203.88","632701.56","662979.56","30037.64","11511.13","28035.64","46259.8","28345.36","31550.97","42730","18372.84","41890.16","36880.14","positive","No Fragments","Fenugreekine,Malvidin 3-glucoside-4-vinylcatechol,Peonidin 3-(6''-caffeylgucoside),Petunidin 3-(6''-p-coumarylglucoside),Pinotin A","HAJIFDLIYRCSKS-KHEPWEFFSA-O,KTFQEFWNLAUGAX-WSAFTLCOSA-O,LFERELMXERXKKQ-KMXXXSRASA-N,RFTHDRVOYDHSOC-FWXOTTMISA-O,RFTHDRVOYDHSOC-MFJSLHEKNA-O"
"156","123.0978","713.12","587637.38","502310.06","443622.69","571334.81","489641","643856.31","571774.75","599110.31","591415.38","520763.41","51390.39","19809.25","39705","67095.27","38286.34","54884.89","55363.89","34884.77","67475.44","51620.9","positive","No Fragments","",""
"157","117.1278","710.58","602588.63","491300.34","497951","471764.75","386768.59","466875.81","534261.31","571574.5","509440.88","572927.44","202595.09","157022.75","236049.3","305297.78","159434.03","217785.36","180492.47","170927.92","228659.8","172927.16","positive","No Fragments","",""
"158","152.0568","704.55","313415.53","601728.19","497864.78","172855.52","338839.5","401463.59","318564.88","393856.91","344516.81","219728.69","134165.03","142688.31","187034.48","168868.19","85997.27","144420.7","113615.14","76548.92","123923.45","99399.91","positive","No Fragments","2-Hydroxyadenine,8-Hydroxyadenine,Guanine","DRAVOWXCEBXPTN-UHFFFAOYSA-N,RGKBRPAAQSHTED-UHFFFAOYSA-N,UYTPUPDQBNUYGX-UHFFFAOYSA-N"
"159","333.0639","711.94","315125.63","251466.83","234296.11","317921.25","283478.44","321566.66","327565.81","307187.59","274087.41","268691.44","16603.79","6782.3","16096.39","28903.92","19078.04","21383.68","26887.8","17728.6","23363.39","23321.85","positive","No Fragments","Rosoxacin","XBPZXDSZHPDXQU-UHFFFAOYSA-N"
"160","542.0686","711.86","182629.86","174784.8","150895.86","210832.52","175748.22","222038.77","212294.69","210337.67","227951.16","174155.34","16584.23","3971.91","12387.85","21418.37","11908.75","12855.43","17875.23","8243.3","16350.04","18173.57","positive","No Fragments","Cyclic ADP-ribose,Fucofuroeckol B,GW 4064","BQOHYSXSASDCEA-KEOHHSTQSA-N,BYTNEISLBIENSA-MDZDMXLPSA-N,RGNBIKVVGUORSW-UHFFFAOYSA-N"
"161","173.0922","708.64","193607.95","207557.64","215308.11","190431.56","150275.52","178871.08","218829.14","187274.59","185143.14","206022.88","12643.21","5987.79","12410.73","16966.12","10362.36","12617.42","12613.72","10206.74","16526.86","14816.24","positive","No Fragments","(S)-4-Amino-5-oxopentanoate,2-Amino-4-oxopentanoic acid,2-amino-4-oxo-pentanoic acid,2-oxo-5-amino-pentanoic acid,3-Hydroxy-L-proline,4-Hydroxy-2-pyrrolidinecarboxylic acid,4-Hydroxy-L-proline,4-Hydroxyproline,5-Amino-2-oxopentanoic acid,5-Aminolevulinate,5-Aminolevulinic acid,5-amino-levulinic acid,Glycylproline,Hydroxyproline,L-Glutamate 5-semialdehyde,L-Glutamic gamma-semialdehyde,L-prolyl-L-glycine ,N-Acetyl-L-alanine,N-Acetyl-beta-alanine,Propionylglycine,Trans-3-hydroxy-L-proline,cis-3-Hydroxy-L-proline,cis-4-Hydroxy-D-proline,cis-4-Hydroxy-L-proline,trans-3-Hydroxy-L-proline,trans-4-Hydroxy-D-proline","BJBUEDPLEOHJGE-DMTCNVIQSA-N,BJBUEDPLEOHJGE-IMJSIDKUSA-N,BJBUEDPLEOHJGE-IUYQGCFVSA-N,BWHGMFYTDQEALD-UHFFFAOYSA-N,KABXUUFDPUOJMW-BYPYZUCNSA-N,KTHDTJVBEPMMGL-VKHMYHEASA-N,KZNQNBZMBZJQJO-UHFFFAOYSA-N,LJLLAWRMBZNPMO-UHFFFAOYSA-N,MPUUQNGXJSEWTF-BYPYZUCNSA-N,PMMYEEVYMWASQN-BKLSDQPFSA-N,PMMYEEVYMWASQN-DMTCNVIQSA-N,PMMYEEVYMWASQN-IMJSIDKUSA-N,PMMYEEVYMWASQN-IUYQGCFVSA-N,PMMYEEVYMWASQN-QWWZWVQMSA-N,PMMYEEVYMWASQN-SEFKMRKONA-N,PMMYEEVYMWASQN-UHFFFAOYSA-N,QUCHWTCTBHQQDU-BYPYZUCNSA-N,QUCHWTCTBHQQDU-SCSAIBSYSA-N,RNKSNIBMTUYWSH-UHFFFAOYSA-N,WOMAZEJKVZLLFE-UHFFFAOYSA-N,ZGXJTSGNIOSYLO-UHFFFAOYSA-N"
